486
178
(30.000002, -16.351303, 40.000000) (0.300000, 0.536487, 0.400000) (0.000000, 0.000000)
(20.000000, -21.844997, 40.000000) (0.200000, 0.481550, 0.400000) (0.000000, 0.000000)
(20.000000, -46.654301, 50.000000) (0.200000, 0.233457, 0.500000) (0.000000, 0.000000)
(30.000002, -42.850998, 50.000000) (0.300000, 0.271490, 0.500000) (0.000000, 0.000000)
(20.000000, -21.844997, 40.000000) (0.200000, 0.481550, 0.400000) (0.000000, 0.000000)
(30.000002, -48.571400, 60.000004) (0.300000, 0.214286, 0.600000) (0.000000, 0.000000)
(30.000002, -42.850998, 50.000000) (0.300000, 0.271490, 0.500000) (0.000000, 0.000000)
(20.000000, -46.654301, 50.000000) (0.200000, 0.233457, 0.500000) (0.000000, 0.000000)
(20.000000, -41.696602, 60.000004) (0.200000, 0.283034, 0.600000) (0.000000, 0.000000)
(30.000002, -48.571400, 60.000004) (0.300000, 0.214286, 0.600000) (0.000000, 0.000000)
(20.000000, -46.654301, 50.000000) (0.200000, 0.233457, 0.500000) (0.000000, 0.000000)
(30.000002, -46.613098, 70.000008) (0.300000, 0.233869, 0.700000) (0.000000, 0.000000)
(30.000002, -48.571400, 60.000004) (0.300000, 0.214286, 0.600000) (0.000000, 0.000000)
(20.000000, -41.696602, 60.000004) (0.200000, 0.283034, 0.600000) (0.000000, 0.000000)
(20.000000, -16.536797, 70.000008) (0.200000, 0.534632, 0.700000) (0.000000, 0.000000)
(30.000002, -46.613098, 70.000008) (0.300000, 0.233869, 0.700000) (0.000000, 0.000000)
(20.000000, -41.696602, 60.000004) (0.200000, 0.283034, 0.600000) (0.000000, 0.000000)
(30.000002, -40.583401, 80.000008) (0.300000, 0.294166, 0.800000) (0.000000, 0.000000)
(30.000002, -46.613098, 70.000008) (0.300000, 0.233869, 0.700000) (0.000000, 0.000000)
(20.000000, -16.536797, 70.000008) (0.200000, 0.534632, 0.700000) (0.000000, 0.000000)
(20.000000, -28.781700, 80.000008) (0.200000, 0.412183, 0.800000) (0.000000, 0.000000)
(30.000002, -40.583401, 80.000008) (0.300000, 0.294166, 0.800000) (0.000000, 0.000000)
(20.000000, -16.536797, 70.000008) (0.200000, 0.534632, 0.700000) (0.000000, 0.000000)
(30.000002, -27.575802, 90.000008) (0.300000, 0.424242, 0.900000) (0.000000, 0.000000)
(30.000002, -40.583401, 80.000008) (0.300000, 0.294166, 0.800000) (0.000000, 0.000000)
(20.000000, -28.781700, 80.000008) (0.200000, 0.412183, 0.800000) (0.000000, 0.000000)
(20.000000, -27.647900, 90.000008) (0.200000, 0.423521, 0.900000) (0.000000, 0.000000)
(30.000002, -27.575802, 90.000008) (0.300000, 0.424242, 0.900000) (0.000000, 0.000000)
(20.000000, -28.781700, 80.000008) (0.200000, 0.412183, 0.800000) (0.000000, 0.000000)
(40.000000, -30.399899, 10.000000) (0.400000, 0.396001, 0.100000) (0.000000, 0.000000)
(40.000000, -33.368401, 0.000000) (0.400000, 0.366316, 0.000000) (0.000000, 0.000000)
(30.000002, -24.658802, 0.000000) (0.300000, 0.453412, 0.000000) (0.000000, 0.000000)
(30.000002, -23.731201, 10.000000) (0.300000, 0.462688, 0.100000) (0.000000, 0.000000)
(40.000000, -30.399899, 10.000000) (0.400000, 0.396001, 0.100000) (0.000000, 0.000000)
(30.000002, -24.658802, 0.000000) (0.300000, 0.453412, 0.000000) (0.000000, 0.000000)
(40.000000, -37.553101, 20.000000) (0.400000, 0.324469, 0.200000) (0.000000, 0.000000)
(40.000000, -30.399899, 10.000000) (0.400000, 0.396001, 0.100000) (0.000000, 0.000000)
(30.000002, -23.731201, 10.000000) (0.300000, 0.462688, 0.100000) (0.000000, 0.000000)
(30.000002, -31.616199, 20.000000) (0.300000, 0.383838, 0.200000) (0.000000, 0.000000)
(40.000000, -37.553101, 20.000000) (0.400000, 0.324469, 0.200000) (0.000000, 0.000000)
